,Metropolitan Areas,% Households with Internet
0,"Centennial, CO",96%
1,"Cary, NC",95.50%
2,"Irvine, CA",95.30%
3,"Frisco, TX",94.70%
4,"Bellevue, WA",93.60%
5,"Gilbert, AZ",93.40%
6,"Boulder, CO",92.70%
7,"Pearland, TX",92.60%
8,"Plano, TX",92.30%
9,"Scottsdale, AZ",92.10%
10,"College Station, TX",92%
11,"Coral Springs, FL",92%
12,"Surprise, AZ",92%
13,"Sunnyvale, CA",92%
14,"Lewisville, TX",91.60%
15,"Round Rock, TX",91.60%
16,"Arlington, VA",91.50%
17,"Fort Collins, CO",91.40%
18,"Naperville, IL",91.30%
19,"Torrance, CA",91.20%
20,"Olathe, KS",91.10%
21,"Chandler, AZ",91%
22,"The Woodlands, TX",90.90%
23,"West Jordan, UT",90.80%
24,"Berkeley, CA",90.80%
25,"Carlsbad, CA",90.80%
26,"Ann Arbor, MI",90.80%
27,"Fremont, CA",90.70%
28,"Costa Mesa, CA",90.60%
29,"Santa Clara, CA",90.50%
30,"Elk Grove, CA",90.10%
31,"San Mateo, CA",90%
32,"Murrieta, CA",89.90%
33,"Rancho Cucamonga, CA",89.80%
34,"Overland Park, KS",89.60%
35,"Virginia Beach, VA",89.50%
36,"Temecula, CA",89.50%
37,"Miramar, FL",89.50%
38,"Thousand Oaks, CA",89.30%
39,"Santa Clarita, CA",89.30%
40,"Rochester, MN",89%
41,"Huntington Beach, CA",88.90%
42,"Alexandria, VA",88.80%
43,"Pembroke Pines, FL",88.70%
44,"Fullerton, CA",88.60%
45,"Thornton, CO",88.40%
46,"San Jose, CA",88.40%
47,"Arvada, CO",88.40%
48,"Tempe, AZ",88.40%
49,"Cape Coral, FL",88.20%
50,"Broken Arrow, OK",88%
51,"San Diego, CA",88%
52,"Provo, UT",88%
53,"Seattle, WA",87.80%
54,"Burbank, CA",87.70%
55,"Roseville, CA",87.70%
56,"Richardson, TX",87.50%
57,"Corona, CA",87.50%
58,"Orange, CA",87.50%
59,"Denton, TX",87.30%
60,"Columbia, MO",87.30%
61,"Eugene, OR",87.30%
62,"Anchorage municipality, AK",87.20%
63,"Madison, WI",87.10%
64,"Cambridge, MA",87%
65,"Colorado Springs, CO",86.80%
66,"Santa Rosa, CA",86.80%
67,"Port St. Lucie, FL",86.70%
68,"Henderson, NV",86.50%
69,"McKinney, TX",86.50%
70,"West Covina, CA",86.20%
71,"Norman, OK",86.10%
72,"Westminster, CO",86.10%
73,"Tallahassee, FL",85.90%
74,"Simi Valley, CA",85.80%
75,"Fontana, CA",85.70%
76,"Raleigh, NC",85.60%
77,"San Buenaventura, CA",85.50%
78,"North Las Vegas, NV",85.40%
79,"Elgin, IL",85.30%
80,"Concord, CA",85.20%
81,"Portland, OR",85.20%
82,"Austin, TX",85.10%
83,"San Francisco, CA",85.10%
84,"West Valley City, UT",85.10%
85,"Durham, NC",85%
86,"Garland, TX",84.90%
87,"Fargo, ND",84.80%
88,"Sterling Heights, MI",84.70%
89,"Riverside, CA",84.60%
90,"Killeen, TX",84.60%
91,"Daly City, CA",84.60%
92,"Carrollton, TX",84.40%
93,"Palm Bay, FL",84.40%
94,"Fairfield, CA",84.40%
95,"Aurora, CO",84.40%
96,"Peoria, AZ",84.20%
97,"Boise City, ID",84.10%
98,"Midland, TX",84%
99,"Antioch, CA",83.90%
100,"Aurora, IL",83.90%
101,"Chesapeake, VA",83.80%
102,"Chula Vista, CA",83.60%
103,"El Cajon, CA",83.60%
104,"Oceanside, CA",83.60%
105,"Anaheim, CA",83.50%
106,"Mesquite, TX",83.30%
107,"Hayward, CA",83.30%
108,"Lincoln, NE",83.30%
109,"Stamford, CT",83.30%
110,"Gainesville, FL",83.30%
111,"Kent, WA",83.10%
112,"Vancouver, WA",83.10%
113,"Pasadena, CA",83%
114,"Salt Lake City, UT",82.90%
115,"Springfield, IL",82.70%
116,"Clarksville, TN",82.70%
117,"Lexington-Fayette, KY",82.40%
118,"Rialto, CA",82.20%
119,"Sioux Falls, SD",82.20%
120,"Charleston, SC",82.20%
121,"Murfreesboro, TN",82.10%
122,"Minneapolis, MN",82%
123,"Charlotte, NC",82%
124,"Billings, MT",82%
125,"Orlando, FL",81.90%
126,"Salem, OR",81.70%
127,"Lubbock, TX",81.70%
128,"Wilmington, NC",81.40%
129,"Long Beach, CA",81.40%
130,"St. Paul, MN",81.40%
131,"Fayetteville, NC",81.30%
132,"Cedar Rapids, IA",81.30%
133,"Lafayette, LA",81.30%
134,"Jersey City, NJ",81.20%
135,"Irving, TX",81.20%
136,"Arlington, TX",81.10%
137,"Newport News, VA",80.80%
138,"Denver, CO",80.80%
139,"Moreno Valley, CA",80.70%
140,"Visalia, CA",80.70%
141,"Reno, NV",80.50%
142,"Spokane, WA",80.30%
143,"Hollywood, FL",80.30%
144,"Yonkers, NY",80.20%
145,"Garden Grove, CA",80.10%
146,"Boston, MA",80.10%
147,"Downey, CA",80.10%
149,"Columbus, OH",80%
150,"Vallejo, CA",79.90%
151,"Worcester, MA",79.80%
152,"Richmond, CA",79.80%
153,"Oakland, CA",79.80%
154,"Lakewood, CO",79.80%
155,"Joliet, IL",79.60%
156,"Tyler, TX",79.40%
157,"Bakersfield, CA",79.20%
158,"Urban Honolulu, HI",79.20%
159,"Atlanta, GA",79.20%
160,"Salinas, CA",79.10%
161,"Las Vegas, NV",79.10%
162,"Sacramento, CA",78.90%
163,"Jacksonville, FL",78.90%
164,"Hampton, VA",78.80%
165,"Glendale, CA",78.80%
166,"Manchester, NH",78.80%
167,"Wichita Falls, TX",78.60%
168,"Grand Prairie, TX",78.60%
169,"Oklahoma City, OK",78.60%
170,"Nashville-Davidson, TN",78.50%
171,"Odessa, TX",78.50%
172,"Everett, WA",78.40%
173,"Los Angeles, CA",78.30%
174,"Fort Worth, TX",78.20%
175,"Greensboro, NC",78.20%
176,"Mesa, AZ",78.20%
177,"Fort Lauderdale, FL",78.10%
178,"New York, NY",78.10%
179,"Gresham, OR",78%
180,"Tucson, AZ",78%
181,"Corpus Christi, TX",77.90%
182,"St. Petersburg, FL",77.80%
183,"High Point, NC",77.80%
184,"Fort Wayne, IN",77.80%
185,"Las Cruces, NM",77.70%
186,"Tampa, FL",77.60%
187,"Norfolk, VA",77.50%
188,"Santa Ana, CA",77.40%
189,"Palmdale, CA",77.40%
190,"Pittsburgh, PA",77.30%
191,"Green Bay, WI",77.30%
192,"Tacoma, WA",77.30%
193,"Escondido, CA",77.20%
194,"McAllen, TX",77.10%
195,"Pomona, CA",77.10%
196,"Albuquerque, NM",77.10%
197,"Omaha, NE",77.10%
198,"Huntsville, AL",76.90%
199,"Independence, MO",76.80%
200,"Little Rock, AR",76.70%
201,"Pompano Beach, FL",76.40%
202,"Des Moines, IA",76.30%
203,"Clearwater, FL",76.30%
204,"Lakeland, FL",76.30%
205,"Victorville, CA",76.20%
206,"Athens-Clarke County, GA",76%
207,"Louisville/Jefferson, KY",76%
208,"Montgomery, AL",76%
209,"Phoenix, AZ",75.90%
210,"Bridgeport, CT",75.70%
211,"Kansas City, MO",75.60%
212,"Grand Rapids, MI",75.50%
213,"Amarillo, TX",75.40%
214,"Houston, TX",75.10%
215,"Chicago, IL",75.10%
216,"Lansing, MI",75%
217,"San Antonio, TX",74.70%
218,"Norwalk, CA",74.60%
219,"Inglewood, CA",74.60%
220,"Ontario, CA",74.50%
221,"Winston-Salem, NC",74.30%
222,"Modesto, CA",74.30%
223,"Richmond, VA",74.30%
224,"Lancaster, CA",74.20%
225,"Columbus, GA",74%
226,"Columbia, SC",74%
227,"Indianapolis, IN",74%
228,"Peoria, IL",73.80%
229,"Tulsa, OK",73.80%
230,"San Angelo, TX",73.60%
231,"Rockford, IL",73.60%
232,"Topeka, KS",73.50%
233,"Wichita, KS",73.40%
234,"Davenport, IA",73.30%
235,"Pasadena, TX",73.30%
236,"Fresno, CA",73%
237,"Oxnard, CA",73%
238,"Savannah, GA",72.90%
239,"Knoxville, TN",72.70%
240,"Springfield, MO",72.70%
241,"Baton Rouge, LA",72.50%
242,"Stockton, CA",72.50%
243,"Elizabeth, NJ",72.50%
244,"Lowell, MA",71.80%
245,"Dallas, TX",71.50%
246,"Allentown, PA",71.50%
247,"Chattanooga, TN",71.40%
248,"West Palm Beach, FL",71.30%
249,"El Paso, TX",71.30%
250,"San Bernardino, CA",71.20%
251,"Waco, TX",71.20%
252,"Providence, RI",71%
253,"Warren, MI",70.50%
254,"Augusta-Richmond County, GA",70.40%
255,"Philadelphia, PA",70.20%
256,"Toledo, OH",70.20%
257,"Erie, PA",70.10%
258,"Cincinnati, OH",69.70%
259,"Pueblo, CO",69.70%
260,"Baltimore, MD",69.60%
261,"Springfield, MA",69.40%
262,"Glendale, AZ",69%
263,"Abilene, TX",68.90%
264,"Milwaukee, WI",68.80%
265,"Syracuse, NY",68.80%
266,"North Charleston, SC",68.80%
267,"South Bend, IN",68.70%
268,"Akron, OH",68.20%
269,"St. Louis, MO",68.10%
270,"Shreveport, LA",67.90%
271,"Newark, NJ",67.80%
272,"Memphis, TN",67.70%
273,"Buffalo, NY",67.40%
274,"Kansas City, KS",67.20%
275,"Mobile, AL",66.50%
276,"Waterbury, CT",66.30%
277,"New Orleans, LA",66.20%
278,"Paterson, NJ",66%
279,"Rochester, NY",65.90%
280,"Dayton, OH",65.80%
281,"Beaumont, TX",65.60%
282,"Evansville, IN",64.70%
283,"New Haven, CT",64.10%
284,"Cleveland, OH",63.90%
285,"Miami Gardens, FL",63.60%
286,"Miami, FL",63.20%
287,"Jackson, MS",61.20%
288,"Brownsville, TX",61.10%
289,"Birmingham, AL",61%
290,"Hialeah, FL",60.70%
291,"Detroit, MI",60.10%
292,"Laredo, TX",59.80%
293,"El Monte, CA",58%
294,"Hartford, CT",57.70%
295,"Santa Maria, CA",56.10%
